"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Sptbn5",0.278812305193853,6.45814594835019e-10,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Up","Up","Concordant"
"Per1",0.148578582927282,3.81211797203905e-08,"PER1",0.614657911355589,0.030933662866666,"Up","Up","Concordant"
"Col1a1",0.273992607146182,3.78571338508467e-07,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Up","Down","Discordant"
"Cadm3",0.20543253679176,7.27346840734589e-06,"CADM3",1.0167187389854,0.000288870291583311,"Up","Up","Concordant"
"Col5a1",0.188495248498108,1.26304276569832e-05,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Up","Down","Discordant"
"Lamb1",0.166615253161529,1.4424080607864e-05,"LAMB1",0.484600229731846,0.00417971710924958,"Up","Up","Concordant"
"Gldn",0.213898235805572,2.48267899257432e-05,"GLDN",2.35105038421498,2.1621471920167e-09,"Up","Up","Concordant"
"Mat2a",0.160273845182095,7.37305771448038e-05,"MAT2A",2.03602742581746,5.68684526512092e-17,"Up","Up","Concordant"
"Pmp22",0.232201125071771,8.73530839180724e-05,"PMP22",1.45929829179601,1.88551476517146e-06,"Up","Up","Concordant"
"Sema5a",0.243485026161334,0.000137563273445366,"SEMA5A",0.822533121468287,0.00184069332767274,"Up","Up","Concordant"
"Sostdc1",0.324427246743857,0.000361614547644109,"SOSTDC1",1.25349168254091,0.00740267993503608,"Up","Up","Concordant"
"Sema3g",0.247650621630385,0.000428656443988727,"SEMA3G",-0.608545192438649,0.0381973899900013,"Up","Down","Discordant"
"Slc9a9",0.210081725902278,0.000591002107575872,"SLC9A9",-1.26085104283364,3.7160431001603e-05,"Up","Down","Discordant"
"Myo1b",0.188129593946506,0.000703572092228785,"MYO1B",0.489556382046038,1.32623899575974e-05,"Up","Up","Concordant"
"Nr4a1",0.321128692577412,0.00107721299079936,"NR4A1",2.04199998326437,5.15570936980758e-07,"Up","Up","Concordant"
"Col1a2",0.163734716792011,0.0023655412311896,"COL1A2",-0.884662679434246,0.000673077956595261,"Up","Down","Discordant"
"Dag1",0.178670270236289,0.00313247581655942,"DAG1",0.452299922636794,0.0319723226206573,"Up","Up","Concordant"
"Mpz",0.236882537880897,0.00512391121192371,"MPZ",1.71292998284678,0.00117146089740735,"Up","Up","Concordant"
"Spag9",0.122474087262303,0.0075096035293914,"SPAG9",0.652013602089023,9.43717706637799e-05,"Up","Up","Concordant"
"Mapre3",0.122831619055952,0.00851143237491616,"MAPRE3",-0.388861509907204,0.0462384440524781,"Up","Down","Discordant"
"Pttg1ip",0.138035101882181,0.00958732857749303,"PTTG1IP",0.331388807252075,0.0121856217054011,"Up","Up","Concordant"
"Nsmaf",0.111967600351253,0.0143855508611426,"NSMAF",0.645900000630919,0.0238449606258016,"Up","Up","Concordant"
"Limk2",0.148812964319102,0.0196470161194494,"LIMK2",1.86406431994265,0.000122981072989985,"Up","Up","Concordant"
"Ucp2",0.194516014433003,0.0215537775418033,"UCP2",-0.707725555259273,0.00108041690961829,"Up","Down","Discordant"
"Srpk1",0.196436750028682,0.0245929950758846,"SRPK1",1.37573547686643,0.000476474840202546,"Up","Up","Concordant"
"Kcna1",0.128743981729993,0.0348411264843991,"KCNA1",1.77994603376021,0.000672740015383392,"Up","Up","Concordant"
"Filip1",0.107003821188282,0.0368302595031568,"FILIP1",0.925510803598033,0.00192422478747432,"Up","Up","Concordant"
"Hmgcs1",0.196638101675819,0.0374509250611683,"HMGCS1",0.664451359166214,0.00619868364623705,"Up","Up","Concordant"
"Gas2l3",0.129825036501369,0.0400274971726253,"GAS2L3",0.796413699156658,0.0173435712693783,"Up","Up","Concordant"
"Sars2",0.184847890534771,0.0426154636248078,"SARS2",-1.05637564312278,0.000113818308729681,"Up","Down","Discordant"
"Gan",0.11515253037949,0.0498233522149132,"GAN",0.403375922730345,0.000732186301216929,"Up","Up","Concordant"
